Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Int,Tkl+Int,Clr,Err
Juan Cruz Armada,es ESP,DF,Osasuna,30-265,1992,18.1,1.05,0.61,0.77,0.11,0.17,0.66,1.71,2.21,0
Jorge Cuenca,es ESP,DF,Villarreal,23-153,1999,4,1.5,1,1,0.5,0,1.25,2.75,7,0
Braian Cufré,ar ARG,DF,Mallorca,26-125,1996,2.4,2.08,0.83,0.83,0.42,0.83,0.83,2.92,0.42,0
Fran Delgado,es ESP,DF,Betis,21-282,2001,0.1,0,0,0,0,0,0,0,0,0
Mouctar Diakhaby,gn GUI,DF,Valencia,26-121,1996,19.2,1.09,0.57,0.68,0.42,0,0.63,1.72,3.13,0.05
Djené,tg TOG,DF,Getafe,31-109,1991,25.1,0.96,0.64,0.64,0.32,0,1.27,2.23,2.75,0.04
Matt Doherty,ie IRL,DF,Atlético Madrid,31-093,1992,0.1,0,0,0,0,0,0,0,0,0
Carlos Dominguez,es ESP,DF,Celta Vigo,22-067,2001,0.2,0,0,0,0,0,0,0,5,0
Domingos Duarte,pt POR,DF,Getafe,28-040,1995,26.4,0.98,0.68,0.8,0.19,0,1.36,2.35,5,0
Aritz Elustondo,es ESP,DF,Real Sociedad,29-022,1994,12,1.83,1.08,1.08,0.67,0.08,1.5,3.33,2.58,0.08
Rodrigo Ely,br BRA,DF,Almería,29-167,1993,27.1,0.74,0.52,0.59,0.15,0,0.96,1.7,5.61,0
Sergio Escudero,es ESP,DF,Valladolid,33-229,1989,10.9,2.29,1.56,1.56,0.64,0.09,1.28,3.58,3.03,0
Alfonso Espino,uy URU,DF,Cádiz,31-104,1992,26.7,2.62,1.65,1.5,0.71,0.41,1.27,3.9,2.88,0
Bernardo Espinosa,co COL,DF,Girona,33-282,1989,9.4,0.43,0,0.11,0.32,0,0.53,0.96,4.36,0.21
Mamadou Fall,sn SEN,DF,Villarreal,20-149,2002,0.3,0,0,0,0,0,0,0,3.33,0
Zouhair Feddal,ma MAR,DF,Valladolid,34-108,1989,4.2,0.95,0.48,0.24,0.71,0,1.19,2.14,6.43,0
Felipe,br BRA,DF,Atlético Madrid,33-338,1989,2.2,1.36,0.91,0.45,0.91,0,0,1.36,3.18,0
Luiz Felipe,it ITA,DF,Betis,26-028,1997,14.5,1.66,0.97,0.9,0.76,0,1.45,3.1,4.76,0
Kiko Femenía,es ESP,DF,Villarreal,32-076,1991,10.8,1.11,0.56,0.93,0.09,0.09,1.39,2.5,1.76,0
Federico Fernández,ar ARG,DF,Elche,34-057,1989,1,1,1,1,0,0,2,3,12,0
Joaquín Fernández,es ESP,DF,Valladolid,26-323,1996,19.8,1.36,1.21,0.91,0.35,0.1,1.06,2.42,4.34,0.05
Dimitri Foulquier,fr FRA,DF,Valencia,30-027,1993,14.4,1.6,0.97,0.83,0.56,0.21,0.49,2.08,1.74,0
Juan Foyth,ar ARG,DF,Villarreal,25-097,1998,15,3.8,2.33,2.53,1.13,0.13,0.93,4.73,3.4,0
Iván Fresneda,es ESP,DF,Valladolid,18-203,2004,14.2,2.82,1.97,1.83,0.85,0.14,0.99,3.8,3.1,0
Javi Galán,es ESP,DF,Celta Vigo,28-151,1994,27.8,2.91,2.09,1.76,1.04,0.11,1.04,3.96,1.87,0.04
Carlos García,es ESP,DF,Cádiz,22-286,2000,0.3,0,0,0,0,0,0,0,6.67,0
David García,es ESP,DF,Osasuna,29-064,1994,24.5,1.22,0.65,0.82,0.41,0,1.47,2.69,4.94,0
Eric García,es ESP,DF,Barcelona,22-100,2001,12.9,1.47,0.93,1.01,0.31,0.16,1.24,2.71,2.48,0.08
Francisco Garcia,es ESP,DF,Rayo Vallecano,23-248,1999,28.9,2.01,1.31,1.42,0.35,0.24,1.18,3.18,1.7,0
Unai García,es ESP,DF,Osasuna,31-075,1992,17.1,1.17,0.64,0.64,0.41,0.12,1.05,2.22,3.27,0.12
Felix Garreta,es ESP,DF,Betis,18-363,2004,1,1,0,0,1,0,1,2,4,0
Óscar Gil,es ESP,DF,Espanyol,25-358,1997,20.6,2.23,1.21,1.26,0.68,0.29,1.21,3.45,2.04,0.05
Sergi Gómez,es ESP,DF,Espanyol,31-022,1992,19.7,1.07,0.61,0.71,0.36,0,1.12,2.18,4.72,0
Diego González,es ESP,DF,Elche,28-081,1995,10.6,1.13,0.66,0.85,0.28,0,0.66,1.79,4.72,0.09
Édgar González,es ESP,DF,Betis,26-018,1997,15.5,1.42,0.97,0.84,0.39,0.19,1.23,2.65,6.45,0
Giovanni González,uy URU,DF,Mallorca,28-211,1994,9.8,1.63,0.82,1.12,0.2,0.31,0.71,2.35,2.04,0
Andoni Gorosabel,es ESP,DF,Real Sociedad,26-258,1996,13.5,2.37,1.33,1.41,0.44,0.52,0.74,3.11,1.11,0
Miguel Gutiérrez,es ESP,DF,Girona,21-266,2001,19.8,1.46,0.86,0.86,0.45,0.15,0.76,2.22,1.52,0.05
Dennis Hadzikadunic,ba BIH,DF,Mallorca,24-284,1998,2,1,1,0.5,0.5,0,0.5,1.5,3.5,0
Mario Hermoso,es ESP,DF,Atlético Madrid,27-305,1995,14.9,0.94,0.6,0.54,0.27,0.13,1.01,1.95,3.49,0
Aridane Hernández,gq EQG,DF,Osasuna,34-027,1989,12.6,1.11,0.79,0.95,0.16,0,1.59,2.7,4.44,0.08
Luis Hernández,es ESP,DF,Cádiz,34-005,1989,27,1.04,0.63,0.81,0.19,0.04,0.81,1.85,4.07,0
Mario Hernández,es ESP,DF,Rayo Vallecano,24-084,1999,1.1,2.73,1.82,1.82,0.91,0,1.82,4.55,0,0
Iglesias,es ESP,DF,Getafe,24-290,1998,18.6,2.58,1.29,1.77,0.65,0.16,0.97,3.55,3.92,0
Javi,es ESP,DF,Girona,24-352,1998,9.5,1.79,0.95,0.95,0.74,0.11,0.42,2.21,2.74,0
Juanpe,es ESP,DF,Girona,31-354,1991,11.3,0.97,0.71,0.44,0.53,0,0.62,1.59,4.07,0.09
Kaiky,br BRA,DF,Almería,19-097,2004,6.3,0.79,0.79,0.79,0,0,1.75,2.54,3.97,0
