Player,Nation,Pos,Squad,Age,Born,90s,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Matteo Lovato,it ITA,DF,Salernitana,23-064,2000,5,0,0,0,0,0,7,0,0,7
Jhon Lucumí,co COL,DF,Bologna,24-297,1998,25.2,1,0.2,0.3,+0.8,6,66,5,1,58
José Luis Palomino,ar ARG,DF,Atalanta,33-104,1990,7.8,0,0.3,0.3,-0.3,2,23,4,2,26
Sebastiano Luperto,it ITA,DF,Empoli,26-225,1996,27,0,0.6,0.3,-0.6,3,48,2,1,64
Charalambos Lykogiannis,gr GRE,DF,Bologna,29-179,1993,11.9,0,1.3,1.2,-1.3,17,47,16,11,54
Giangiacomo Magnani,it ITA,DF,Hellas Verona,27-197,1995,11,0,0.1,0.1,-0.1,4,21,3,0,22
Gianluca Mancini,it ITA,DF,Roma,27-002,1996,26.2,2,1.3,1,+0.7,13,81,10,3,68
Riccardo Marchizza,it ITA,DF,Sassuolo,25-024,1998,2,1,0.2,0.1,+0.8,2,8,2,1,7
Gian Marco Ferrari,it ITA,DF,Sassuolo,31-063,1992,20.1,0,0,0.1,0,1,53,2,0,67
Pablo Marí,es ESP,DF,Monza,29-231,1993,21.6,0,0.1,0.2,-0.1,2,66,2,0,46
Marlon,br BRA,DF,Monza,27-224,1995,14.2,0,0.3,0.5,-0.3,1,60,5,2,49
Luca Marrone,it ITA,DF,Monza,33-022,1990,1.5,0,0,0,0,0,0,0,0,4
Lucas Martínez Quarta,ar ARG,DF,Fiorentina,26-344,1996,19.6,1,0.4,0.7,+0.6,6,91,5,1,96
Adam Marušić,me MNE,DF,Lazio,30-184,1992,27.3,2,1.1,1.2,+0.9,9,98,7,4,102
Adam Masina,ma MAR,DF,Udinese,29-107,1994,5.6,0,0.1,0.2,-0.1,1,15,4,3,16
Pasquale Mazzocchi,it ITA,DF,Salernitana,27-266,1995,15.8,2,2.3,1.8,-0.3,27,30,16,9,46
Yıldırım Mert Çetin,tr TUR,DF,Lecce,26-108,1997,0.2,0,0,0,0,0,0,0,0,0
Nikola Milenković,rs SRB,DF,Fiorentina,25-189,1997,19.2,1,0.5,0.9,+0.5,6,51,2,0,67
Kim Min-jae,kr KOR,DF,Napoli,26-155,1996,28.2,2,1.9,0.8,+0.1,10,161,6,2,134
Salvatore Molina,it ITA,DF,Monza,31-108,1992,2.5,0,0.1,0.3,-0.1,2,4,5,4,7
Mert Müldür,tr TUR,DF,Sassuolo,24-016,1999,0.1,0,0,0,0,0,0,0,0,0
Jeison Murillo,co COL,DF,Sampdoria,30-327,1992,10.3,0,0,0.1,0,1,29,1,0,33
Nicola Murru,it ITA,DF,Sampdoria,28-124,1994,6.1,0,0.1,0.3,-0.1,2,17,4,3,19
Dimitris Nikolaou,gr GRE,DF,Spezia,24-249,1998,26.3,0,0.7,0.6,-0.7,7,88,3,2,85
Bram Nuytinck,nl NED,DF,Udinese,32-350,1990,4.3,0,0,0,0,0,4,1,0,4
Bram Nuytinck,nl NED,DF,Sampdoria,32-350,1990,12.4,1,0.3,0.4,+0.7,3,12,0,0,16
