Player,Nation,Pos,Squad,Age,Born,90s,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Jordan Amavi,fr FRA,DF,Getafe,29-041,1994,2.1,0,0,0,0,0,0.95,0,0,2.38
Fabrizio Angileri,ar ARG,DF,Getafe,29-035,1994,6,0,0,0.02,0,0,2.17,0.17,0,2.5
Ronald Araújo,uy URU,DF,Barcelona,24-043,1999,15.3,0.13,0.05,0.04,0.08,0.33,4.51,0.13,0.07,3.73
Ludwig Augustinsson,se SWE,DF,Mallorca,28-363,1994,1.3,0,0,0.08,0,0.77,0.77,1.54,1.54,2.31
Srđan Babić,rs SRB,DF,Almería,26-362,1996,25.5,0,0.01,0.01,-0.01,0.24,1.61,0.08,0.04,2
Loïc Bade,fr FRA,DF,Sevilla,23-008,2000,10,0,0.01,0.01,-0.01,0.2,3.1,0,0,2.9
Alejandro Balde,es ESP,DF,Barcelona,19-183,2003,20.4,0.25,0.17,0.19,0.07,0.88,2.89,0.78,0.54,2.7
Mikel Balenziaga,es ESP,DF,Athletic Club,35-049,1988,1.3,0,0,0.08,0,0,3.08,1.54,0.77,5.38
Iván Balliu,al ALB,DF,Rayo Vallecano,31-108,1992,27.2,0,0.09,0.08,-0.09,0.96,2.65,0.96,0.48,3.93
Héctor Bellerín,es ESP,DF,Barcelona,28-031,1995,1.6,0,0.06,0.31,-0.06,0.63,6.25,2.5,0,8.13
Yuri Berchiche,es ESP,DF,Athletic Club,33-068,1990,17.7,0.06,0.05,0.07,0.01,0.73,5.37,1.41,0.56,5.99
Pedro Bigas,es ESP,DF,Elche,32-216,1990,19,0,0,0.01,0,0,2.89,0.05,0.05,3.53
Juan Brandáriz,es ESP,DF,Almería,24-048,1999,13.3,0,0,0.01,0,0,1.95,0.15,0.08,2.18
Santiago Bueno,uy URU,DF,Girona,24-161,1998,27.9,0.04,0.04,0.03,0,0.25,4.12,0.14,0.04,4.34
Leandro Cabrera,uy URU,DF,Espanyol,31-306,1991,22.8,0,0.04,0.03,-0.04,0.48,2.68,0.39,0.09,2.85
Cala,es ESP,DF,Cádiz,33-144,1989,1.5,0,0,0,0,0,0,0,0,1.33
Alexander Callens,pe PER,DF,Girona,30-350,1992,0.6,0,0,0,0,0,6.67,1.67,0,8.33
Ander Capa,es ESP,DF,Athletic Club,31-070,1992,1.1,0,0,0.09,0,0.91,4.55,1.82,0.91,10
Isaac Carcelen,es ESP,DF,Cádiz,29-361,1993,16.7,0.06,0.04,0.04,0.02,0.36,2.34,0.54,0.36,3.05
Carmona,es ESP,DF,Sevilla,21-080,2002,5.9,0.17,0.07,0.03,0.1,0.34,4.07,0.51,0.34,1.86
Dani Carvajal,es ESP,DF,Real Madrid,31-098,1992,16.1,0.12,0.12,0.11,0.01,1.12,3.11,1.18,0.43,2.92
Catena,es ESP,DF,Rayo Vallecano,28-173,1994,26.8,0.04,0.05,0.02,-0.01,0.19,3.73,0.07,0,3.47
Álex Centelles,es ESP,DF,Almería,25-162,1997,5.5,0,0.05,0.04,-0.05,0.91,2.55,0.55,0.55,2.73
Andreas Christensen,dk DEN,DF,Barcelona,27-009,1996,14,0.07,0.04,0.05,0.04,0.36,5.14,0.21,0,5.14
Víctor Chust,es ESP,DF,Cádiz,23-045,2000,9.6,0,0,0.01,0,0.1,2.08,0.1,0,2.19
Eray Cömert,ch SUI,DF,Valencia,25-074,1998,17,0,0.01,0.01,-0.01,0.18,2.59,0.12,0,2.94
Copete,es ESP,DF,Mallorca,23-191,1999,16.9,0,0.01,0.01,-0.01,0.12,2.72,0.18,0,2.9
Jaume Costa,es ESP,DF,Mallorca,35-032,1988,22.4,0.04,0.08,0.1,-0.04,1.12,2.19,1.07,0.63,2.63
Juan Cruz Armada,es ESP,DF,Osasuna,30-265,1992,18.1,0,0.06,0.05,-0.06,0.77,3.09,0.83,0.55,3.09
Jorge Cuenca,es ESP,DF,Villarreal,23-153,1999,4,0,0.03,0.05,-0.03,0.25,3.75,0.5,0,5
Braian Cufré,ar ARG,DF,Mallorca,26-125,1996,2.4,0,0,0.04,0,0.42,1.67,0.42,0,2.92
Fran Delgado,es ESP,DF,Betis,21-282,2001,0.1,0,0,0,0,0,0,0,0,0
Mouctar Diakhaby,gn GUI,DF,Valencia,26-121,1996,19.2,0,0.01,0.02,-0.01,0.21,3.13,0,0,3.13
Djené,tg TOG,DF,Getafe,31-109,1991,25.1,0.04,0.02,0.04,0.02,0.2,1.95,0.4,0.32,2.15
Matt Doherty,ie IRL,DF,Atlético Madrid,31-093,1992,0.1,0,0,0,0,0,0,0,0,0
Carlos Dominguez,es ESP,DF,Celta Vigo,22-067,2001,0.2,0,0,0,0,0,5,0,0,5
Domingos Duarte,pt POR,DF,Getafe,28-040,1995,26.4,0.08,0.03,0,0.05,0.15,1.55,0.04,0,1.97
Aritz Elustondo,es ESP,DF,Real Sociedad,29-022,1994,12,0.08,0.08,0.03,0,0.33,2.58,0.58,0.17,3.5
Rodrigo Ely,br BRA,DF,Almería,29-167,1993,27.1,0,0.01,0.01,-0.01,0.11,1.4,0.07,0,1.4
Sergio Escudero,es ESP,DF,Valladolid,33-229,1989,10.9,0,0.06,0.07,-0.06,0.92,1.56,0.83,0.37,2.39
Alfonso Espino,uy URU,DF,Cádiz,31-104,1992,26.7,0.11,0.08,0.07,0.03,0.86,2.36,0.79,0.45,2.96
Bernardo Espinosa,co COL,DF,Girona,33-282,1989,9.4,0.11,0,0.01,0.11,0.11,1.7,0,0,2.02
Mamadou Fall,sn SEN,DF,Villarreal,20-149,2002,0.3,0,0,0,0,0,0,3.33,3.33,3.33
Zouhair Feddal,ma MAR,DF,Valladolid,34-108,1989,4.2,0,0.02,0,-0.02,0.48,1.43,0.24,0,1.19
Felipe,br BRA,DF,Atlético Madrid,33-338,1989,2.2,0,0,0,0,0.45,6.82,0,0,9.09
Luiz Felipe,it ITA,DF,Betis,26-028,1997,14.5,0,0.02,0.02,-0.02,0.14,1.52,0.07,0.07,2
Kiko Femenía,es ESP,DF,Villarreal,32-076,1991,10.8,0,0.06,0.04,-0.06,0.74,4.07,0.83,0.37,5.28
Federico Fernández,ar ARG,DF,Elche,34-057,1989,1,0,0,0,0,0,0,0,0,0
Joaquín Fernández,es ESP,DF,Valladolid,26-323,1996,19.8,0,0.01,0.01,-0.01,0.1,1.92,0.15,0,1.62
Dimitri Foulquier,fr FRA,DF,Valencia,30-027,1993,14.4,0.07,0.08,0.1,-0.01,0.56,2.85,1.18,0.69,3.68
Juan Foyth,ar ARG,DF,Villarreal,25-097,1998,15,0,0.09,0.07,-0.09,0.73,4.2,0.53,0.07,4.73
Iván Fresneda,es ESP,DF,Valladolid,18-203,2004,14.2,0,0.09,0.07,-0.09,1.06,2.68,0.77,0.49,3.45
Javi Galán,es ESP,DF,Celta Vigo,28-151,1994,27.8,0.07,0.13,0.13,-0.06,1.65,2.05,1.62,0.83,3.35
Carlos García,es ESP,DF,Cádiz,22-286,2000,0.3,3.33,0.33,0,3,3.33,0,0,0,6.67
David García,es ESP,DF,Osasuna,29-064,1994,24.5,0,0.02,0.02,-0.02,0.2,3.96,0.16,0,3.63
Eric García,es ESP,DF,Barcelona,22-100,2001,12.9,0,0,0.02,0,0,7.75,0.16,0,6.67
Francisco Garcia,es ESP,DF,Rayo Vallecano,23-248,1999,28.9,0.07,0.04,0.04,0.03,0.73,3.63,0.73,0.62,3.94
Unai García,es ESP,DF,Osasuna,31-075,1992,17.1,0.06,0.01,0.01,0.05,0.18,2.46,0.18,0.12,2.81
Felix Garreta,es ESP,DF,Betis,18-363,2004,1,0,0,0,0,0,2,0,0,2
Óscar Gil,es ESP,DF,Espanyol,25-358,1997,20.6,0.05,0.13,0.08,-0.08,0.49,0.97,0.39,0.19,1.75
Sergi Gómez,es ESP,DF,Espanyol,31-022,1992,19.7,0,0.01,0.01,-0.01,0.1,1.73,0.05,0,1.88
Diego González,es ESP,DF,Elche,28-081,1995,10.6,0,0,0,0,0,1.51,0.09,0,1.23
Édgar González,es ESP,DF,Betis,26-018,1997,15.5,0,0.05,0.05,-0.05,0.13,0.84,0,0,1.81
Giovanni González,uy URU,DF,Mallorca,28-211,1994,9.8,0.2,0.12,0.06,0.08,0.51,1.84,0.71,0.41,2.76
Andoni Gorosabel,es ESP,DF,Real Sociedad,26-258,1996,13.5,0,0.06,0.09,-0.06,0.67,2.15,1.33,0.67,4.3
Miguel Gutiérrez,es ESP,DF,Girona,21-266,2001,19.8,0.1,0.12,0.11,-0.02,0.86,3.08,0.96,0.51,4.14
Dennis Hadzikadunic,ba BIH,DF,Mallorca,24-284,1998,2,0,0,0,0,0,1,0,0,2
Mario Hermoso,es ESP,DF,Atlético Madrid,27-305,1995,14.9,0,0.05,0.04,-0.05,0.47,3.09,0.2,0,4.3
Aridane Hernández,gq EQG,DF,Osasuna,34-027,1989,12.6,0,0,0.01,0,0,1.83,0.08,0,2.06
Luis Hernández,es ESP,DF,Cádiz,34-005,1989,27,0,0.03,0.03,-0.03,0.33,1.85,0.19,0.15,2.15
Mario Hernández,es ESP,DF,Rayo Vallecano,24-084,1999,1.1,0,0,0,0,0,2.73,0,0,2.73
Iglesias,es ESP,DF,Getafe,24-290,1998,18.6,0,0.04,0.06,-0.04,0.59,1.72,1.02,0.65,2.26
