Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Int,Tkl+Int,Clr,Err
Datro Fofana,ci CIV,FW,Chelsea,20-118,2002,0.7,2.86,1.43,0,1.43,1.43,0,2.86,0,0
Tyrese Francois,au AUS,FW,Fulham,22-277,2000,0,0,0,0,0,0,0,0,1,0
Ryan Fraser,sct SCO,FW,Newcastle Utd,29-054,1994,3.5,0.57,0.57,0,0,0.57,0,0.57,0.86,0
Cody Gakpo,nl NED,FW,Liverpool,23-347,1999,10.2,1.18,0.69,0.29,0.59,0.29,0.29,1.47,0.1,0
Joe Gelhardt,eng ENG,FW,Leeds United,20-350,2002,2.4,2.5,0.83,0.42,1.25,0.83,0,2.5,1.67,0
Anthony Gordon,eng ENG,FW,Everton,22-054,2001,12.2,2.79,1.8,1.39,0.82,0.57,0.33,3.11,0.9,0
Darko Gyabi,eng ENG,FW,Leeds United,19-060,2004,0.1,20,20,10,10,0,0,20,0,0
Erling Haaland,no NOR,FW,Manchester City,22-272,2000,24.7,0.12,0.08,0,0.08,0.04,0.08,0.2,0.45,0
Omari Hutchinson,eng ENG,FW,Chelsea,19-171,2003,0.3,0,0,0,0,0,3.33,3.33,0,0
Danny Ings,eng ENG,FW,West Ham,30-270,1992,5.4,0.74,0.56,0,0.56,0.19,0.56,1.3,0.74,0
Danny Ings,eng ENG,FW,Aston Villa,30-270,1992,9.2,1.09,0.54,0.11,0.65,0.33,0.11,1.2,1.2,0
Alexander Isak,se SWE,FW,Newcastle Utd,23-210,1999,10.1,1.09,0.5,0.1,0.5,0.5,0.2,1.29,0.69,0
Daniel James,wls WAL,FW,Leeds United,25-160,1997,2.2,2.73,0.91,0.45,1.36,0.91,0.91,3.64,0.91,0
Daniel James,wls WAL,FW,Fulham,25-160,1997,5.5,1.45,0.91,0.55,0.73,0.18,0.18,1.64,0.73,0
Gabriel Jesus,br BRA,FW,Arsenal,26-016,1997,16.3,1.41,1.17,0.74,0.37,0.31,0.55,1.96,0.61,0.06
Raúl Jiménez,mx MEX,FW,Wolves,31-349,1991,8.3,1.08,0.72,0.36,0.6,0.12,0,1.08,0.96,0
Sasa Kalajdzic,at AUT,FW,Wolves,25-286,1997,0.5,0,0,0,0,0,2,2,0,0
Harry Kane,eng ENG,FW,Tottenham,29-265,1993,30.8,0.36,0.32,0.03,0.1,0.23,0.06,0.42,0.45,0
Neeskens Kebano,cd COD,FW,Fulham,31-040,1992,7.9,1.52,0.63,0.89,0.63,0,0.13,1.65,1.01,0
Anthony Martial,fr FRA,FW,Manchester Utd,27-135,1995,6.8,0.15,0.15,0,0,0.15,0.15,0.29,0.44,0
Martinelli,br BRA,FW,Arsenal,21-305,2001,28,0.82,0.43,0.32,0.29,0.21,0.32,1.14,0.46,0
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25-295,1997,7.9,0.76,0.13,0.25,0.38,0.13,0.38,1.14,2.03,0
Neal Maupay,fr FRA,FW,Everton,26-248,1996,11.6,0.86,0.43,0.17,0.34,0.34,0.43,1.29,0,0
Bryan Mbeumo,cm CMR,FW,Brentford,23-255,1999,26,0.77,0.54,0.19,0.42,0.15,0.31,1.08,0.58,0
Alexander Mighten,eng ENG,FW,Nott'ham Forest,21-008,2002,0.1,0,0,0,0,0,0,0,0,0
Kaoru Mitoma,jp JPN,FW,Brighton,25-334,1997,18.1,1.82,1.1,0.66,0.66,0.5,0.5,2.32,0.5,0
Aleksandar Mitrović,rs SRB,FW,Fulham,28-215,1994,20.1,0.7,0.35,0.4,0.2,0.1,0.15,0.85,0.95,0.05
Kieffer Moore,wls WAL,FW,Bournemouth,30-254,1992,12.4,1.05,0.89,0.16,0.65,0.24,0.08,1.13,1.61,0
Andrew Moran,ie IRL,FW,Brighton,19-186,2003,0.1,0,0,0,0,0,0,0,0,0
Divin Mubama,eng ENG,FW,West Ham,18-176,2004,0,0,0,0,0,0,0,0,0,0
Jacob Murphy,eng ENG,FW,Newcastle Utd,28-054,1995,11.1,1.08,0.54,0.27,0.54,0.27,0.45,1.53,0.27,0
Reiss Nelson,eng ENG,FW,Arsenal,23-130,1999,1.2,1.67,0.83,1.67,0,0,0,1.67,0.83,0
Eddie Nketiah,eng ENG,FW,Arsenal,23-324,1999,11.1,1.08,0.81,0.45,0.18,0.45,0.09,1.17,0.63,0
Darwin Núñez,uy URU,FW,Liverpool,23-299,1999,16.5,0.61,0.24,0.12,0.18,0.3,0.18,0.79,0.67,0
Ethan Nwaneri,eng ENG,FW,Arsenal,16-029,2007,0,0,0,0,0,0,0,0,0,0
Paul Onuachu,ng NGA,FW,Southampton,28-326,1994,3.5,0.29,0.29,0,0.29,0,0,0.29,0.57,0
David Ozoh,,FW,Crystal Palace,17-323,2005,0,0,0,0,0,0,0,0,0,0
Marcus Rashford,eng ENG,FW,Manchester Utd,25-170,1997,26.5,0.72,0.34,0.26,0.3,0.15,0.23,0.94,0.45,0
Cristiano Ronaldo,pt POR,FW,Manchester Utd,38-073,1985,5.8,0.34,0.34,0.17,0,0.17,0.17,0.52,1.55,0
Salomón Rondón,ve VEN,FW,Everton,33-215,1989,1.2,0,0,0,0,0,0,0,0,0
