Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Int,Tkl+Int,Clr,Err
Szymon Żurkowski,pl POL,MF,Spezia,25-206,1997,2.7,2.22,1.11,0.37,1.48,0.37,1.48,3.7,2.22,0
Juan Cuadrado,co COL,"DF,FW",Juventus,34-328,1988,16.5,2.24,1.45,1.52,0.67,0.06,0.97,3.21,1.33,0
Marco D'Alessandro,it ITA,"DF,FW",Monza,32-061,1991,3.2,1.25,1.25,0.94,0.31,0,0.31,1.56,0.94,0
Samuel Iling-Junior,eng ENG,"DF,FW",Juventus,19-197,2003,1.3,1.54,0.77,0.77,0,0.77,0.77,2.31,2.31,0
Filip Kostić,rs SRB,"DF,FW",Juventus,30-169,1992,23.9,1.55,0.96,0.59,0.79,0.17,0.5,2.05,0.92,0
Giorgos Kyriakopoulos,gr GRE,"DF,FW",Bologna,27-073,1996,6.1,1.97,0.82,0.66,0.82,0.49,0.49,2.46,0.98,0
João Moutinho,pt POR,"DF,FW",Spezia,25-097,1998,0.6,11.7,1.67,8.33,1.67,1.67,0,11.7,0,0
Simone Bastoni,it ITA,"MF,DF",Spezia,26-165,1996,11,3.55,1.73,1.64,1.45,0.45,0.73,4.27,0.91,0
Valentin Carboni,it ITA,"MF,DF",Inter,18-045,2005,0.3,3.33,3.33,0,3.33,0,0,3.33,0,0
Mikael Ellertsson,is ISL,"MF,DF",Spezia,21-039,2002,1.9,2.11,1.05,0.53,1.58,0,1.05,3.16,0,0
Pablo Galdames Millán,cl CHI,"MF,DF",Cremonese,26-110,1996,3,3,2,2,0.33,0.67,1.33,4.33,1.33,0
Grigoris Kastanos,cy CYP,"MF,DF",Salernitana,25-079,1998,8.5,2.94,1.88,1.18,1.53,0.24,0.82,3.76,0.59,0
Darko Lazović,rs SRB,"MF,DF",Hellas Verona,32-216,1990,19.9,1.06,0.6,0.4,0.5,0.15,0.6,1.66,0.95,0
Mehdi Léris,dz ALG,"MF,DF",Sampdoria,24-331,1998,23,2.39,1.78,1.17,0.87,0.35,1.04,3.43,1.17,0
Weston McKennie,us USA,"MF,DF",Juventus,24-234,1998,11.7,1.2,0.43,0.26,0.77,0.17,0.94,2.14,1.28,0.09
Gary Medel,cl CHI,"MF,DF",Bologna,35-259,1987,15.1,1.59,0.99,0.99,0.46,0.13,1.72,3.31,2.19,0
Michel Ndary Adopo,fr FRA,"MF,DF",Torino,22-274,2000,2.8,2.14,0.71,1.07,0.71,0.36,0.36,2.5,1.43,0
Paul Pogba,fr FRA,"MF,DF",Juventus,30-035,1993,0.5,0,0,0,0,0,0,0,0,0
Ignacio Pussetto,ar ARG,"MF,DF",Sampdoria,27-119,1995,1.7,3.53,1.76,1.18,1.76,0.59,0,3.53,1.76,0
Ivan Radovanović,rs SRB,"MF,DF",Salernitana,34-233,1988,7.5,1.6,0.53,1.07,0.53,0,0.93,2.53,1.2,0.13
