Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Int,Tkl+Int,Clr,Err
Angelo Fulgini,fr FRA,"FW,MF",Lens,26-242,1996,6.7,1.64,0.6,0.3,0.45,0.9,0.75,2.39,0.15,0
Ignatius Ganago,cm CMR,"FW,MF",Nantes,24-062,1999,13.7,0.58,0.44,0.15,0.15,0.29,0.15,0.73,0.8,0
Valère Germain,fr FRA,"FW,MF",Montpellier,33-002,1990,7.3,1.51,1.23,0.27,0.55,0.68,0.82,2.33,1.51,0
Amine Gouiri,fr FRA,"FW,MF",Nice,23-062,2000,2.5,0.4,0.4,0.4,0,0,0,0.4,1.2,0
Amine Gouiri,fr FRA,"FW,MF",Rennes,23-062,2000,21.2,1.42,0.8,0.42,0.57,0.42,0.28,1.7,0.33,0
Axel Gueguin,fr FRA,"FW,MF",Montpellier,18-026,2005,0.2,0,0,0,0,0,0,0,0,0
Evann Guessand,fr FRA,"FW,MF",Nantes,21-292,2001,13,1.69,1.23,0.62,0.85,0.23,0.54,2.23,0.46,0
Romain Hamouma,fr FRA,"FW,MF",Ajaccio,36-021,1987,10.6,0.57,0.19,0.19,0.19,0.19,0.19,0.75,0.09,0
Noah Holm,no NOR,"FW,MF",Reims,21-331,2001,2.2,2.73,1.82,0.91,0.91,0.91,0,2.73,2.27,0
Franck Honorat,fr FRA,"FW,MF",Brest,26-251,1996,25.1,1.47,1.04,0.76,0.28,0.44,0.72,2.19,0.68,0
Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,28-329,1994,0.9,0,0,0,0,0,0,0,1.11,0
Wahbi Khazri,tn TUN,"FW,MF",Montpellier,32-070,1991,15.3,1.37,0.72,0.72,0.46,0.2,0.52,1.9,0.92,0
Rémy Labeau Lascary,gp GLP,"FW,MF",Lens,20-047,2003,1.3,3.08,1.54,3.08,0,0,0,3.08,0,0
Mohamed Lamine Bayo,gn GUI,"FW,MF",Lille,24-319,1998,6.4,0.47,0.47,0,0.31,0.16,0,0.47,0.16,0
Jérémy Le Douaron,fr FRA,"FW,MF",Brest,24-363,1998,16.9,0.71,0.41,0.3,0.36,0.06,0.53,1.24,1.6,0
Béni Makouana,cg CGO,"FW,MF",Montpellier,20-203,2002,2.2,0.45,0,0,0.45,0,0,0.45,0.45,0
Nathanael Mbuku,fr FRA,"FW,MF",Reims,21-034,2002,0.7,2.86,1.43,2.86,0,0,0,2.86,0,0
Lionel Messi,ar ARG,"FW,MF",Paris S-G,35-299,1987,25.5,0.9,0.67,0.04,0.43,0.43,0.04,0.94,0,0
Lebo Mothiba,za RSA,"FW,MF",Strasbourg,27-081,1996,4.8,0.21,0,0.21,0,0,0,0.21,0.83,0
Arnaud Nordin,fr FRA,"FW,MF",Montpellier,24-306,1998,19.8,0.91,0.4,0.35,0.51,0.05,0.51,1.41,0.25,0
Dango Ouattara,bf BFA,"FW,MF",Lorient,21-067,2002,17.2,2.38,1.51,1.16,0.64,0.58,1.1,3.49,1.22,0
Nicolas Pépé,ci CIV,"FW,MF",Nice,27-325,1995,16.6,1.51,0.78,0.84,0.3,0.36,0.18,1.69,0.06,0
Renaud Ripart,fr FRA,"FW,MF",Troyes,30-036,1993,14.7,2.72,1.56,0.95,1.36,0.41,0.48,3.2,0.34,0
Wesley Saïd,fr FRA,"FW,MF",Lens,28-000,1995,6.8,0.59,0.15,0.15,0.29,0.15,0.15,0.74,0.29,0
Ibrahim Salah,ma MAR,"FW,MF",Rennes,21-232,2001,1.8,3.89,0.56,2.78,1.11,0,1.11,5,0,0
Amine Salama,fr FRA,"FW,MF",Angers,22-275,2000,13.9,0.79,0.65,0.22,0.5,0.07,0.72,1.51,0.14,0
Alexis Sánchez,cl CHI,"FW,MF",Marseille,34-121,1988,23.8,1.01,0.67,0.17,0.67,0.17,0.17,1.18,0.21,0
Pablo Sarabia,es ESP,"FW,MF",Paris S-G,30-343,1992,4.1,1.22,0.98,0.49,0.49,0.24,0.49,1.71,0,0
Kaj Sierhuis,nl NED,"FW,MF",Reims,24-357,1998,0.9,2.22,2.22,1.11,0,1.11,0,2.22,1.11,0
Moses Simon,ng NGA,"FW,MF",Nantes,27-281,1995,22.6,0.8,0.4,0.27,0.31,0.22,0.31,1.11,0.13,0
Moussa Soumano,fr FRA,"FW,MF",Ajaccio,17-284,2005,3.2,0.31,0.31,0,0,0.31,0,0.31,0,0
Kamaldeen Sulemana,gh GHA,"FW,MF",Rennes,21-063,2002,3.6,1.67,0.83,0.28,1.11,0.28,1.11,2.78,0.56,0
Martin Terrier,fr FRA,"FW,MF",Rennes,26-046,1997,14.7,1.7,0.75,0.48,0.61,0.61,0.95,2.65,0.41,0
Tetê,br BRA,"FW,MF",Lyon,23-063,2000,12.3,1.71,0.81,0.65,0.41,0.65,1.06,2.76,0.16,0
Sada Thioub,sn SEN,"FW,MF",Angers,27-322,1995,6.4,2.19,0.94,1.09,0.78,0.31,0.31,2.5,0.47,0
Alexis Tibidi,fr FRA,"FW,MF",Troyes,19-167,2003,0.8,1.25,1.25,1.25,0,0,0,1.25,0,0
Karl Toko Ekambi,cm CMR,"FW,MF",Lyon,30-217,1992,15,0.6,0.6,0.13,0.27,0.2,0.6,1.2,0.4,0
Ike Ugbo,ca CAN,"FW,MF",Troyes,24-210,1998,5.4,0.74,0.19,0.19,0.37,0.19,0.19,0.93,0.37,0
Kevin Volland,de GER,"FW,MF",Monaco,30-263,1992,5.4,1.3,0.56,0,0.93,0.37,0.37,1.67,0,0
Arber Zeneli,xk KVX,"FW,MF",Reims,28-053,1995,10.9,0.83,0.28,0.28,0.28,0.28,0.18,1.01,0.18,0
Himad Abdelli,fr FRA,"MF,FW",Angers,23-153,1999,16.8,2.68,1.49,0.89,1.37,0.42,1.07,3.75,0.71,0
Martin Adeline,fr FRA,"MF,FW",Reims,19-138,2003,1.2,2.5,2.5,1.67,0.83,0,2.5,5,2.5,0
Maghnes Akliouche,fr FRA,"MF,FW",Monaco,21-053,2002,3.4,1.76,0.88,0.88,0.88,0,0.88,2.65,0.59,0
Mathias Autret,fr FRA,"MF,FW",Auxerre,32-049,1991,14.1,1.56,0.71,0.71,0.71,0.14,0.85,2.41,0.92,0
Ross Barkley,eng ENG,"MF,FW",Nice,29-135,1993,9,1.33,0.67,0.67,0.22,0.44,0.67,2,0.67,0
Youcef Belaïli,dz ALG,"MF,FW",Ajaccio,31-036,1992,12.1,1.24,0.74,0.17,0.58,0.5,0.41,1.65,0.33,0
Patrick Berg,no NOR,"MF,FW",Lens,25-146,1997,0.3,0,0,0,0,0,3.33,3.33,0,0
Ludovic Blas,fr FRA,"MF,FW",Nantes,25-109,1997,25.1,1.47,0.96,0.52,0.64,0.32,0.56,2.03,0.24,0
Benjamin Bourigeaud,fr FRA,"MF,FW",Rennes,29-095,1994,27.3,1.43,0.88,0.51,0.7,0.22,0.88,2.31,0.99,0
Rémy Cabella,fr FRA,"MF,FW",Lille,33-042,1990,21.9,2.6,1.55,0.87,1.1,0.64,0.68,3.29,0.32,0.05
Rayan Cherki,fr FRA,"MF,FW",Lyon,19-245,2003,15.2,0.79,0.46,0.07,0.33,0.39,0.26,1.05,0,0
Alexis Claude-Maurice,fr FRA,"MF,FW",Lens,24-317,1998,5.8,2.24,1.38,0.86,1.21,0.17,0.17,2.41,0.17,0
