Player,Nation,Pos,Squad,Age,Born,90s,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Danny Ings,eng ENG,FW,Aston Villa,30-270,1992,9.2,0,0.13,0.07,-0.13,0.98,0.76,0.43,0,1.3
Alexander Isak,se SWE,FW,Newcastle Utd,23-210,1999,10.1,0,0.09,0.06,-0.09,1.09,1.29,0.5,0,1.78
Daniel James,wls WAL,FW,Leeds United,25-160,1997,2.2,0,0.14,0.14,-0.14,0.45,0.45,1.36,0.45,1.36
Daniel James,wls WAL,FW,Fulham,25-160,1997,5.5,0.18,0.11,0.05,0.07,1.09,0.36,1.09,0.18,2.55
Gabriel Jesus,br BRA,FW,Arsenal,26-016,1997,16.3,0.31,0.18,0.11,0.13,1.41,1.6,0.86,0.06,2.7
Raúl Jiménez,mx MEX,FW,Wolves,31-349,1991,8.3,0.12,0.2,0.06,-0.08,0.96,0.96,0.84,0.12,1.57
Sasa Kalajdzic,at AUT,FW,Wolves,25-286,1997,0.5,0,0,0,0,0,0,0,0,0
Harry Kane,eng ENG,FW,Tottenham,29-265,1993,30.8,0.06,0.16,0.08,-0.09,1.53,2.53,1.3,0.16,4.68
Neeskens Kebano,cd COD,FW,Fulham,31-040,1992,7.9,0.38,0.18,0.1,0.2,1.39,0.25,1.14,0.38,2.66
Anthony Martial,fr FRA,FW,Manchester Utd,27-135,1995,6.8,0.29,0.16,0.15,0.13,1.03,1.47,1.03,0,2.94
Martinelli,br BRA,FW,Arsenal,21-305,2001,28,0.18,0.27,0.23,-0.09,1.82,1.14,1.36,0.29,3.11
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25-295,1997,7.9,0,0.08,0.01,-0.08,0.63,0.51,0,0,0.76
Neal Maupay,fr FRA,FW,Everton,26-248,1996,11.6,0,0.05,0.02,-0.05,0.6,0.6,0.17,0,0.78
Bryan Mbeumo,cm CMR,FW,Brentford,23-255,1999,26,0.19,0.2,0.16,-0.01,1.5,0.96,1.54,0.46,2.69
Alexander Mighten,eng ENG,FW,Nott'ham Forest,21-008,2002,0.1,0,0,0,0,0,0,0,0,0
Kaoru Mitoma,jp JPN,FW,Brighton,25-334,1997,18.1,0.22,0.27,0.23,-0.04,1.55,2.15,1.33,0,3.98
Aleksandar Mitrović,rs SRB,FW,Fulham,28-215,1994,20.1,0.05,0.1,0.05,-0.05,0.75,1.24,0.4,0.05,2.04
Kieffer Moore,wls WAL,FW,Bournemouth,30-254,1992,12.4,0,0.02,0.03,-0.02,0.32,1.29,0.4,0,1.61
Andrew Moran,ie IRL,FW,Brighton,19-186,2003,0.1,0,0,0,0,0,0,0,0,0
Divin Mubama,eng ENG,FW,West Ham,18-176,2004,0,0,0,0,0,0,0,0,0,0
Jacob Murphy,eng ENG,FW,Newcastle Utd,28-054,1995,11.1,0.18,0.23,0.23,-0.05,1.44,1.44,2.07,0.36,4.5
Reiss Nelson,eng ENG,FW,Arsenal,23-130,1999,1.2,1.67,0.42,0.33,1.25,5,0.83,3.33,1.67,1.67
Eddie Nketiah,eng ENG,FW,Arsenal,23-324,1999,11.1,0.09,0.1,0.12,-0.01,0.63,0.63,0.54,0,1.35
Darwin Núñez,uy URU,FW,Liverpool,23-299,1999,16.5,0.18,0.32,0.17,-0.14,1.52,0.61,0.67,0.06,1.64
Ethan Nwaneri,eng ENG,FW,Arsenal,16-029,2007,0,0,0,0,0,0,0,0,0,0
Paul Onuachu,ng NGA,FW,Southampton,28-326,1994,3.5,0,0.03,0.03,-0.03,1.14,1.14,0.29,0,1.43
David Ozoh,,FW,Crystal Palace,17-323,2005,0,0,0,0,0,0,0,0,0,0
Marcus Rashford,eng ENG,FW,Manchester Utd,25-170,1997,26.5,0.15,0.11,0.09,0.05,0.87,1.06,1.36,0.08,2.34
Cristiano Ronaldo,pt POR,FW,Manchester Utd,38-073,1985,5.8,0,0.07,0.03,-0.07,1.03,1.21,0.17,0,2.07
Salomón Rondón,ve VEN,FW,Everton,33-215,1989,1.2,0,0.17,0.08,-0.17,1.67,1.67,0.83,0,0.83
Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,26-038,1997,11.1,0.45,0.34,0.23,0.11,2.25,1.8,2.79,0.36,5.23
Bukayo Saka,eng ENG,FW,Arsenal,21-226,2001,29,0.34,0.25,0.17,0.09,2.21,1.45,1.79,0.38,2.93
Mohamed Salah,eg EGY,FW,Liverpool,30-308,1992,28.7,0.24,0.2,0.18,0.05,1.74,1.22,1.99,0.17,3.62
Gianluca Scamacca,it ITA,FW,West Ham,24-108,1999,10.3,0,0.07,0.05,-0.07,1.26,1.36,0.49,0.1,1.65
Kevin Schade,de GER,FW,Brentford,21-143,2001,4.1,0.24,0.15,0.05,0.1,1.22,0,0.24,0,0.73
Ellis Simms,eng ENG,FW,Everton,22-104,2001,2.4,0,0.04,0.17,-0.04,0.83,1.25,0.42,0,1.67
Luis Sinisterra,co COL,FW,Leeds United,23-306,1999,9,0,0.04,0.1,-0.04,1,1.89,1.78,0.22,4
Dominic Solanke,eng ENG,FW,Bournemouth,25-217,1997,24.8,0.24,0.13,0.08,0.11,0.65,0.73,0.36,0,1.37
Manor Solomon,il ISR,FW,Fulham,23-269,1999,4.6,0,0.07,0.11,-0.07,1.09,0.87,1.52,0.22,4.13
Jay Stansfield,eng ENG,FW,Fulham,20-146,2002,1,0,0.1,0,-0.1,1,0,0,0,0
Crysencio Summerville,nl NED,FW,Leeds United,21-171,2001,12.6,0.16,0.11,0.06,0.05,1.03,1.35,0.87,0.16,2.86
Sam Surridge,eng ENG,FW,Nott'ham Forest,24-265,1998,3.4,0,0.03,0,-0.03,0.29,1.18,0,0,1.76
Tetê,br BRA,FW,Leicester City,23-063,2000,5.7,0,0.02,0.04,-0.02,0.53,2.46,0.53,0.18,3.33
Ivan Toney,eng ENG,FW,Brentford,27-034,1996,28.9,0.14,0.15,0.1,-0.01,0.76,1.8,0.76,0.17,2.39
Leandro Trossard,be BEL,FW,Arsenal,28-136,1994,6.4,1.09,0.56,0.36,0.53,2.19,1.72,2.81,0.47,5.63
Jamie Vardy,eng ENG,FW,Leicester City,36-098,1987,16.2,0.25,0.05,0.03,0.2,0.68,0.43,0.31,0.06,0.74
Carlos Vinícius,br BRA,FW,Fulham,28-025,1995,8.3,0.12,0.07,0.08,0.05,0.6,0.84,0.6,0.12,0.96
Ollie Watkins,eng ENG,FW,Aston Villa,27-110,1995,27.8,0.22,0.12,0.08,0.1,0.9,0.83,0.54,0.07,1.26
Danny Welbeck,eng ENG,FW,Brighton,32-144,1990,16.4,0.12,0.16,0.09,-0.04,1.22,1.22,0.67,0,2.2
Willian,br BRA,FW,Fulham,34-253,1988,18,0.17,0.17,0.1,-0.01,2,1.83,1.22,0.06,4.78
Callum Wilson,eng ENG,FW,Newcastle Utd,31-051,1992,15.5,0.26,0.14,0.12,0.12,1.1,0.52,0.39,0,1.1
Harry Wilson,wls WAL,FW,Fulham,26-028,1997,6.1,0,0.03,0.05,-0.03,0.49,1.8,0.66,0,3.11
Yoane Wissa,cd COD,FW,Brentford,26-228,1996,13.8,0.14,0.17,0.07,-0.02,0.72,1.38,0.58,0,1.74
Chris Wood,nz NZL,FW,Newcastle Utd,31-133,1991,5,0,0.06,0.06,-0.06,0.6,0.6,0.2,0,0.8
Chris Wood,nz NZL,FW,Nott'ham Forest,31-133,1991,4.1,0,0.05,0.02,-0.05,0.73,1.22,0.49,0,1.71
Marc Albrighton,eng ENG,"FW,MF",Leicester City,33-152,1989,2.6,0,0.35,0.15,-0.35,2.31,2.31,1.92,0.77,2.69
Julián Álvarez,ar ARG,"FW,MF",Manchester City,23-078,2000,10.1,0,0.13,0.09,-0.13,1.19,1.29,0.79,0.2,2.38
Elliot Anderson,sct SCO,"FW,MF",Newcastle Utd,20-164,2002,2.3,0,0.3,0.39,-0.3,2.17,3.48,0.87,0,4.35
Cameron Archer,eng ENG,"FW,MF",Aston Villa,21-272,2001,0.5,0,0,0,0,0,4,0,0,0
André Ayew,gh GHA,"FW,MF",Nott'ham Forest,33-123,1989,2.9,0,0,0,0,0,0.69,0,0,2.07
